lr,momentum,final_epoch_loss
0.005,0.5,0.024983197450637817
0.01,0.5,0.03301749750971794
0.002,0.5,0.05061957985162735
0.001,0.95,0.06262297928333282
0.002,0.95,0.06543469429016113
0.001,0.99,0.07676634192466736
0.001,0.5,0.11393006145954132
0.002,0.99,0.12737375497817993
0.005,0.95,0.19290435314178467
0.01,0.95,1.0770328044891357
0.005,0.99,1.2291010618209839
0.01,0.99,5.016571998596191
